Potential Journals,Topic keywords,Method keywords,
Scientific Data,Emotion,PET,
SCAN,Emotion recognition/perception/communication,EEG/ERP,
Social Neuroscience,Basic affect/emotion/affect dynamics/specific emotion(s),fNIRS,
NeuroImage,Emotion Regulation (interpresonal/intra-personal),fMRI,
Imaging Neuroscience,Empathy,MEG,
Human Brain Mapping,"Emotion knowledge/awareness (emotion differ, alexithymia, clarity, emotion beliefs)",Structural MRI,
Journal of Neuroscience,Music/Arts/Aesthetic emotion,Diffusion MRI,
Journal of Cognitive Neuroscience,Stress/physical health,tDCS,
European Journal of Neuroscience,Trauma/Adverse experiences,rTMS/TMS,
Nature Communications,Clinical disorder/Clinical (internalizing/externalizing/general mental health/wellbeing/severe mental illness/other),Single-neuron recording,
Nature Human Behaviour,COVID/Public Health,iEEG,
Nature Neuroscience,Social cognition,Brain simulation/Lesion,
Cerebral Cortex,Cognitive processes (attention/memory/learning/...),Pharmacolgy,
Cortex,Interoception,,
Nature,Decision making,,
Science,Teaching/Learning/Creativity,,
Science Advances,Network science,,
PNAS,Prosocial Behavior,,
Communications Psychology,Self,,
Communications Biology,Language/Interpersonal Communication,,
eLife,Relationships/Social Connection,,
Frontiers in Human Neuroscience,Culture,,
Molecular Psychiatry,Intergroup Processes,,
,Social Media,,
,"Sociopolitical problems (environment, social justice, poverty)",,
,Developmental (infancy/childhood/adolescence/emerging adulthood/adult development/aging/other),,
,Touch,,
,Artificial Intelligence,,
